,Position,Track Name,Artist,Streams,major label
181,181,Watermelon Sugar,Harry Styles,1536879,Sony Music Entertainment
182,182,Don’t Break My Heart,The Weeknd,1535361,Universal Music Group
183,183,LOT OF ME,Lil Tecca,1533397,Universal Music Group
184,184,Everybody Talks,Neon Trees,1531624,Universal Music Group
185,185,how you did that (feat. Kodak Black),Gunna,1528837,Warner Music Group
186,186,Girls Want Girls (with Lil Baby),Drake,1526021,Universal Music Group
187,187,Jumpin (feat. Polo G),NLE Choppa,1524992,Warner Music Group
188,188,The Motto,Tiësto,1524340,Warner Music Group
189,189,Bound 2,Kanye West,1521084,Universal Music Group
190,190,you broke me first,Tate McRae,1515175,Sony Music Entertainment
191,191,Get You (feat. Kali Uchis),Daniel Caesar,1514954,Small Label/Independent
192,192,Flashing Lights,Kanye West,1507447,Universal Music Group
193,193,Talking to the Moon,Bruno Mars,1503418,Warner Music Group
194,194,No Idea,Don Toliver,1501826,Warner Music Group
195,195,Cigarette Daydreams,Cage The Elephant,1500056,Sony Music Entertainment
196,196,Bring The Hook,YoungBoy Never Broke Again,1498618,Warner Music Group
197,197,The Less I Know The Better,Tame Impala,1491343,Universal Music Group
198,198,MIDDLE CHILD,J. Cole,1488056,Roc Nation
199,199,Smells Like Teen Spirit - Remastered,Nirvana,1486487,Universal Music Group
200,200,Classic,MKTO,1483922,Sony Music Entertainment
