,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
154,"The Way Life Goes (feat. Oh Wonder)","Lil Uzi Vert",1641164,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc
155,"Today (feat. Gunna)",Cordae,1640057,https://open.spotify.com/track/7z3rc7SCgjbAztt1cbXkVj
156,"Electric Love",BØRNS,1639360,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
157,"my ex's best friend (with blackbear)","Machine Gun Kelly",1638899,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
158,"The Hills","The Weeknd",1638299,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
159,"Wasted On You","Morgan Wallen",1637649,https://open.spotify.com/track/3cBsEDNhFI9E82vPj3kvi3
160,"Wishing Well","Juice WRLD",1637387,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
161,DÁKITI,"Bad Bunny",1629657,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
162,"Dreams - 2004 Remaster","Fleetwood Mac",1627043,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
163,Heartless,"Kanye West",1625839,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5
164,goosebumps,"Travis Scott",1612554,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
165,"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,1610144,https://open.spotify.com/track/30QR0ndUdiiMQMA9g1PGCm
166,"Colombia, Mi Encanto","Carlos Vives",1609000,https://open.spotify.com/track/2Q5q1q01KOdHt5fM00WUJ8
167,"She Knows (feat. Amber Coffman & Cults)","J. Cole",1608258,https://open.spotify.com/track/0Fs9cdPDhptWEDJmiCbkEW
168,"LOVE. FEAT. ZACARI.","Kendrick Lamar",1607194,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
169,"Yes Indeed","Lil Baby",1602808,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
170,"too easy",Gunna,1590841,https://open.spotify.com/track/2Hph3X77ySNgBCIak5CMc6
171,"Mood (feat. iann dior)",24kGoldn,1587802,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
172,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",1586342,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
173,"Not Allowed","TV Girl",1585288,https://open.spotify.com/track/0jA4h2SD50Oak4C3Vn905a
174,"Love Sosa","Chief Keef",1573919,https://open.spotify.com/track/4IowQDUOzUvNtp72HMDcKO
175,BRIGHTSIDE,"The Lumineers",1559593,https://open.spotify.com/track/63q3GlHZstxXzfb0zt7ZYY
176,"poochie gown",Gunna,1557274,https://open.spotify.com/track/5UwA4sYMyaLALd3F2hUgjR
177,"Sand In My Boots","Morgan Wallen",1554952,https://open.spotify.com/track/0uRrG2jRR5tuifsYIJHEao
178,"1 Scale (feat. G Herbo)","Young Dolph",1549507,https://open.spotify.com/track/5gmkw2031VVIboYqPIjSWB
179,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1547326,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
180,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,1542768,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
181,"Watermelon Sugar","Harry Styles",1536879,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
182,"Don’t Break My Heart","The Weeknd",1535361,https://open.spotify.com/track/6a4GH1gljLL7VvmO9u5O92
183,"LOT OF ME","Lil Tecca",1533397,https://open.spotify.com/track/2ZXxRC6V6AXzMdbLQZMHSB
184,"Everybody Talks","Neon Trees",1531624,https://open.spotify.com/track/2iUmqdfGZcHIhS3b9E9EWq
185,"how you did that (feat. Kodak Black)",Gunna,1528837,https://open.spotify.com/track/49W1ZqawgaAwbIY3Hlrp0K
186,"Girls Want Girls (with Lil Baby)",Drake,1526021,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
187,"Jumpin (feat. Polo G)","NLE Choppa",1524992,https://open.spotify.com/track/1z7LV5wkExwW8YJk0IrPUA
188,"The Motto",Tiësto,1524340,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
189,"Bound 2","Kanye West",1521084,https://open.spotify.com/track/3sNVsP50132BTNlImLx70i
190,"you broke me first","Tate McRae",1515175,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
191,"Get You (feat. Kali Uchis)","Daniel Caesar",1514954,https://open.spotify.com/track/7zFXmv6vqI4qOt4yGf3jYZ
192,"Flashing Lights","Kanye West",1507447,https://open.spotify.com/track/31I3Rt1bPa2LrE74DdNizO
193,"Talking to the Moon","Bruno Mars",1503418,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
194,"No Idea","Don Toliver",1501826,https://open.spotify.com/track/7AzlLxHn24DxjgQX73F9fU
195,"Cigarette Daydreams","Cage The Elephant",1500056,https://open.spotify.com/track/2tznHmp70DxMyr2XhWLOW0
196,"Bring The Hook","YoungBoy Never Broke Again",1498618,https://open.spotify.com/track/1giI9yVIG71xY8lPwSDzWY
197,"The Less I Know The Better","Tame Impala",1491343,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
198,"MIDDLE CHILD","J. Cole",1488056,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
199,"Smells Like Teen Spirit - Remastered",Nirvana,1486487,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
200,Classic,MKTO,1483922,https://open.spotify.com/track/6FE2iI43OZnszFLuLtvvmg
